persona_id,display_name,filename,model,width,height,sha256,authenticity,source,author,source_page,redistribution_status,notes
alex,Alex,alex.png,slim,64,64,df8ed96c557d441a63e7b6a4a911ab84fa453b42fc2ae6b01c3e1b02e138168c,official,Mojang official skin template,Mojang Studios,https://assets.mojang.com/SkinTemplates/alex.png,official_asset,Official Minecraft default Alex skin template.
entity303,Entity 303,entity303.png,wide,64,64,890a2886335b6c6cf07db608eaa223c0cb16f45f07ea6c775b4a744c74245a77,canonical_traits_matched,The Skindex: Entity 303 (Minecraft legend),ArrynLeFae1,https://www.minecraftskins.com/skin/22272647/entity-303--minecraft-legend-/,community_asset_permission_not_verified,Community-made skin matching the common white-hood/black-face/red-eyes depiction.
error422,Error 422,error422.png,wide,64,64,cf34c3a37353e45dc059b3fe628d59a3b0f0938978aacb5525d8acb9d1a1c028,community_personification,The Skindex: Error 422,StarlestStar912,https://www.minecraftskins.com/skin/19772348/error-422/,community_asset_permission_not_verified,Error 422 is primarily a corrupted-version creepypasta rather than one uniquely canonical humanoid skin. This is a recognizable community personification.
farlandsman,Far Lands Man,farlandsman.png,slim,64,64,7f1853c82e995045eede4c23e026422c28dce0683bb21621bfa404a3c4cafd3e,community_interpretation,The Skindex: Farlands Man 01,Scorched0rchid,https://www.minecraftskins.com/skin/21730036/farlands-man-01/,community_asset_permission_not_verified,No single authoritative Far Lands Man skin was found. Selected a skin explicitly presented by its creator as a creepypasta interpretation.
giantalex,Giant Alex,giantalex.png,slim,64,64,710cdde90d5eda5c519b5954639da690963b3f6f815a80e65ea6e1fb46aef095,canonical_traits_matched,The Skindex: Giant Alex(Bloody Alex),Tanishka112233,https://www.minecraftskins.com/skin/19360822/giant-alex-bloody-alex-/,community_asset_permission_not_verified,Community-made player skin matching the creepypasta description of a bloodied Alex. Entity scale must be implemented separately.
greensteve,Green Steve,greensteve.png,wide,64,64,8af1403d17b11f3f213238f302a6774f358fa5a46fa65c703099d7356d0b2a12,canonical_traits_matched,NovaSkin: Green Steve Minecraft CREEPYPASTA,Community upload,https://minecraft.novaskin.me/post/3295563038/green-steve-minecraft-creepypasta,community_asset_permission_not_verified,Community skin matching the defining depiction: Steve-like character colored green.
herobrine,Herobrine,herobrine.png,wide,64,64,6aeedecae0fe7349b4c3ad05c39cdc89acad4aa36fbbf4b15f9b84a315c4b311,canonical_traits_matched,The Skindex: Old Herobrine,MajorBlock64,https://www.minecraftskins.com/skin/22787048/old-herobrine/,community_asset_permission_not_verified,Community-made player skin matching the standard Herobrine depiction: Steve-derived body with solid white eyes.
null,Null,null.png,wide,64,64,4b0d58d3b6499655bc197620fb300706a748f27a828a68c33769c67d3fce6808,canonical_traits_matched,The Skindex: Null (Classic),KingSmoothies,https://www.minecraftskins.com/skin/24246249/null--classic-/,community_asset_permission_not_verified,Community-made skin intentionally using the original pitch-black Null design; no added white eyes.
steve,Steve,steve.png,wide,64,64,4c7b0468044bfecacc43d00a3a69335a834b73937688292c20d3988cae58248d,official,Mojang official skin template,Mojang Studios,https://assets.mojang.com/SkinTemplates/steve.png,official_asset,Official Minecraft default Steve skin template.
whiteeyes,White Eyes,whiteeyes.png,slim,64,64,4e06a2b9736b3cb5037e82df3edee613242abe6061b25b6171970cd9d5df50a4,community_interpretation,The Skindex: WhiteEyes 01,Scorched0rchid,https://www.minecraftskins.com/skin/21754474/whiteeyes-01/,community_asset_permission_not_verified,"Original/canon myth documents only the eyes, not a complete player body. This is explicitly a community humanoid interpretation for use with a Human renderer."
